id,id,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore,abs_squidScore,tScore_qcut,pScore_qcut,tScore_rnd,pScore_rnd,sScore_rnd,sScore_multi,sScore_Output,sScore,sScore_qcut
116,191,/m/the-missing-gun,The Missing Gun,Art House & International,PG-13,2003,38.0,67,29.0,0,2,3,6,2,0,no-one should,29.0,best
117,192,/m/dhanak,Dhanak,Drama,NR,2015,73.0,76,3.0,2,3,7,7,3,6,no-one should,3.0,good
118,193,/m/the_whole_gritty_city,The Whole Gritty City,Documentary,NR,2013,100.0,93,7.0,4,4,1,9,7,16,universal,-7.0,okay
119,194,/m/macGruber,MacGruber,Action & Adventure,R,2010,48.0,35,13.0,1,0,4,3,1,0,no-one should,-13.0,bad
120,197,/m/happy_hunting,Happy Hunting,Art House & International,NR,2017,100.0,46,54.0,4,1,1,4,5,4,critic dominant - risky,-54.0,worst
121,199,/m/monrovia_indiana,"Monrovia, Indiana",Documentary,NR,2018,84.0,59,25.0,3,1,8,5,2,3,no-one should,-25.0,worst
122,200,/m/1156352-adam_and_steve,Adam & Steve,Comedy,R,2005,54.0,56,2.0,1,1,5,5,2,1,no-one should,2.0,good
123,201,/m/bride_flight,Bride Flight,Art House & International,R,2011,67.0,75,8.0,2,3,6,7,8,6,no-one should,8.0,good
124,202,/m/how_murray_saved_christmas,How Murray Saved Christmas,Animation,NR,2014,50.0,62,12.0,1,2,5,6,1,2,no-one should,12.0,good
125,203,/m/1005194-dangerous,Dangerous,Classics,G,1935,80.0,61,19.0,3,2,8,6,1,6,no-one should,-19.0,worst
126,204,/m/1053321-adventures_of_prince_achmed,The Adventures of Prince Achmed,Animation,NR,1926,100.0,90,10.0,4,4,1,9,1,16,universal,-10.0,bad
127,205,/m/the_king_of_masks_1999,The King of Masks,Art House & International,NR,1999,89.0,91,2.0,3,4,8,9,2,12,toss up,2.0,good
128,206,/m/one_mile_away_2012,One Mile Away,Documentary,NR,2013,75.0,100,25.0,2,4,7,1,2,8,peanut dominant - risky,25.0,best
129,208,/m/tashan,Tashan,Action & Adventure,NR,2008,50.0,19,31.0,1,0,5,1,3,0,no-one should,-31.0,worst
130,214,/m/xxx,XXX,Action & Adventure,PG-13,2002,48.0,58,10.0,1,1,4,5,1,1,no-one should,10.0,good
131,216,/m/half_moon,Half Moon,Drama,NR,2007,100.0,77,23.0,4,3,1,7,2,12,toss up,-23.0,worst
132,217,/m/1004552-comfort_and_joy,Comfort and Joy,Comedy,PG,1984,100.0,81,19.0,4,3,1,8,1,12,toss up,-19.0,worst
133,218,/m/the_day_the_earth_caught_fire,The Day the Earth Caught Fire,Drama,NR,1962,78.0,84,6.0,2,4,7,8,6,8,peanut dominant - risky,6.0,good
134,220,/m/darlin,Darlin',Horror,NR,2019,70.0,57,13.0,2,1,7,5,1,2,no-one should,-13.0,bad
135,222,/m/diary-of-the-dead2007,Diary of the Dead,Horror,R,2007,62.0,41,21.0,2,0,6,4,2,0,no-one should,-21.0,worst
136,224,/m/teacher_2019,Teacher,Drama,NR,2019,100.0,69,31.0,4,2,1,6,3,8,critic dominant - risky,-31.0,worst
137,226,/m/hey_is_dee_dee_home,Hey is Dee Dee Home,Documentary,NR,2003,80.0,62,18.0,3,2,8,6,1,6,no-one should,-18.0,worst
138,227,/m/new_in_town,New In Town,Comedy,PG,2009,28.0,37,9.0,0,0,2,3,9,0,no-one should,9.0,good
139,228,/m/nativity_2,Nativity 2,Comedy,NR,2013,36.0,49,13.0,0,1,3,4,1,0,no-one should,13.0,good
140,229,/m/the_housemaid,The Housemaid,Art House & International,NR,2011,70.0,53,17.0,2,1,7,5,1,2,no-one should,-17.0,bad
141,230,/m/the_ballad_of_lefty_brown,The Ballad of Lefty Brown,Western,R,2017,77.0,52,25.0,2,1,7,5,2,2,no-one should,-25.0,worst
142,231,/m/seducing_doctor_lewis_2004,Seducing Doctor Lewis (La grande séduction),Art House & International,NR,2004,68.0,86,18.0,2,4,6,8,1,8,peanut dominant - risky,18.0,best
143,232,/m/dangerous_liaisons_2012,Dangerous Liaisons,Art House & International,NR,2012,68.0,53,15.0,2,1,6,5,1,2,no-one should,-15.0,bad
144,234,/m/the_other_man_fw_de_klerk_and_the_end_of_apartheid,The Other Man: F.W. de Klerk and the End of Apartheid,Documentary,NR,2015,50.0,33,17.0,1,0,5,3,1,0,no-one should,-17.0,bad
145,235,/m/storks,Storks,Animation,PG,2016,66.0,62,4.0,2,2,6,6,4,4,no-one should,-4.0,okay
146,236,/m/a_pas_de_loup_2012,À pas de loup (On the Sly),Art House & International,NR,2012,100.0,62,38.0,4,2,1,6,3,8,critic dominant - risky,-38.0,worst
147,237,/m/slackers,Slackers,Comedy,R,2002,10.0,50,40.0,0,1,1,5,4,0,no-one should,40.0,best
148,239,/m/fiorile,Fiorile (Wild Flower),Art House & International,PG-13,1993,57.0,59,2.0,1,1,5,5,2,1,no-one should,2.0,good
149,240,/m/tito_and_the_birds,Tito and the Birds (Tito e os Pássaros),Action & Adventure,NR,2018,90.0,89,1.0,3,4,9,8,1,12,toss up,-1.0,okay
150,241,/m/girlfriend_boyfriend,Girlfriend Boyfriend,Comedy,NR,2012,62.0,73,11.0,2,3,6,7,1,6,no-one should,11.0,good
151,242,/m/pepi-luci-bom-y-otras-chicas-del-monton-pepi-luci-bom-and-other-girls-like-mom,"Pepi, Luci, Bom and Other Girls Like Mom (Pepi, Luci, Bom y otras chicas del montón)",Art House & International,NR,1980,50.0,64,14.0,1,2,5,6,1,2,no-one should,14.0,good
152,245,/m/fargo,Fargo,Drama,R,1996,93.0,93,0.0,4,4,9,9,0,16,universal,0.0,okay
153,246,/m/10009426-guitar,The Guitar,Drama,R,2008,33.0,55,22.0,0,1,3,5,2,0,no-one should,22.0,best
154,247,/m/then_she_found_me,Then She Found Me,Comedy,R,2007,50.0,44,6.0,1,0,5,4,6,0,no-one should,-6.0,okay
155,249,/m/innocence_2014,Innocence,Action & Adventure,PG-13,2014,19.0,34,15.0,0,0,1,3,1,0,no-one should,15.0,good
156,251,/m/meditation_park,Meditation Park,Drama,NR,2017,89.0,100,11.0,3,4,8,1,1,12,toss up,11.0,good
157,252,/m/the_blossoming_of_maximo_oliveros,The Blossoming of Maximo Oliveros,Art House & International,NR,2006,89.0,81,8.0,3,3,8,8,8,9,no-one should,-8.0,bad
158,253,/m/hell_night,Hell Night,Horror,R,1981,56.0,45,11.0,1,1,5,4,1,1,no-one should,-11.0,bad
159,254,/m/pope_francis_a_man_of_his_word,Pope Francis - A Man of His Word,Documentary,PG,2018,82.0,76,6.0,3,3,8,7,6,9,no-one should,-6.0,okay
160,256,/m/1014536-my_man_godfrey,My Man Godfrey,Classics,G,1936,97.0,90,7.0,4,4,9,9,7,16,universal,-7.0,okay
161,257,/m/1167811-ballets_russes,Ballets Russes,Documentary,NR,2005,92.0,81,11.0,4,3,9,8,1,12,toss up,-11.0,bad
162,259,/m/color_purple,The Color Purple,Drama,PG-13,1985,80.0,94,14.0,3,4,8,9,1,12,toss up,14.0,good
163,260,/m/house_on_carroll_street,The House on Carroll Street,Action & Adventure,PG,1988,67.0,29,38.0,2,0,6,2,3,0,no-one should,-38.0,worst
164,261,/m/despair,Despair (Despair - Eine Reise ins Licht),Art House & International,NR,1978,65.0,76,11.0,2,3,6,7,1,6,no-one should,11.0,good
165,262,/m/the_guatemalan_handshake,The Guatemalan Handshake,Art House & International,NR,2006,71.0,52,19.0,2,1,7,5,1,2,no-one should,-19.0,worst
166,263,/m/marvins_room,Marvin's Room,Drama,PG-13,1996,84.0,63,21.0,3,2,8,6,2,6,no-one should,-21.0,worst
167,265,/m/powaqqatsi,Powaqqatsi,Art House & International,G,1988,56.0,81,25.0,1,3,5,8,2,3,no-one should,25.0,best
168,268,/m/manufactured_landscapes,Manufactured Landscapes,Documentary,G,2007,84.0,80,4.0,3,3,8,8,4,9,no-one should,-4.0,okay
169,270,/m/honey_boy,Honey Boy,Drama,R,2019,94.0,91,3.0,4,4,9,9,3,16,universal,-3.0,okay
170,272,/m/rudolph_the_red_nosed_reindeer_the_movie,Rudolph the Red-Nosed Reindeer: The Movie,Animation,G,1998,40.0,58,18.0,1,1,4,5,1,1,no-one should,18.0,best
