id,title,genre,cag_rating,cag_release,sScore,sScore_qcut
313,Sylvio,Comedy,NR,2017,-11.0,bad
314,Yolanda and the Thief,Comedy,NR,1945,-27.0,worst
315,Rara,Art House & International,NR,2016,-30.0,worst
316,Uncle Howard,Documentary,NR,2016,-31.0,worst
317,Blade II,Action & Adventure,R,2002,11.0,good
318,Spider-Man 2,Action & Adventure,PG-13,2004,-11.0,bad
319,Flyboys,Action & Adventure,PG-13,2006,34.0,best
320,Losing Ground,Comedy,NR,1982,-67.0,worst
321,The Emperor's New Groove,Animation,G,2000,-2.0,okay
322,Milius,Documentary,NR,2013,-7.0,okay
323,About Adam,Art House & International,R,2000,-21.0,worst
324,The Bridge (Die Brücke),Art House & International,NR,1959,-13.0,bad
325,Rosenstrasse,Art House & International,PG-13,2004,13.0,good
326,Star Trek II: The Wrath of Khan,Action & Adventure,PG,1982,3.0,good
327,Jim,Drama,NR,2010,-9.0,bad
328,The Land Girls,Comedy,R,1998,-8.0,bad
329,My Life as a Zucchini (Ma vie de courgette),Animation,PG-13,2017,-10.0,bad
330,HappyThankYouMorePlease,Comedy,R,2011,18.0,best
331,"3 And 1/2 Minutes, 10 Bullets",Documentary,NR,2015,-12.0,bad
332,Leprechaun in the Hood,Horror,R,2000,10.0,good
333,"Asbury Park: Riot, Redemption, Rock n Roll",Documentary,NR,2019,-12.0,bad
334,H.,Drama,NR,2014,-55.0,worst
335,Dohee-ya (A Girl at My Door),Art House & International,NR,2015,-19.0,worst
336,Spinning Man,Mystery & Suspense,R,2018,-5.0,okay
337,Broken Hill,Drama,PG,2009,11.0,good
338,I've Heard the Mermaids Singing,Art House & International,R,1987,-32.0,worst
339,The Hangover,Comedy,R,2009,6.0,good
340,Spring Breakdown,Comedy,R,2009,-28.0,worst
341,Schneider vs. Bax,Comedy,NR,2015,-12.0,bad
342,Boiling Point,Action & Adventure,R,1993,3.0,good
343,Joe Dirt,Comedy,PG-13,2001,52.0,best
344,The Lodgers,Horror,R,2018,-12.0,bad
345,House of Wax,Horror,R,2005,16.0,best
346,Anne of Green Gables,Drama,G,1985,-4.0,okay
347,Source Code,Action & Adventure,PG-13,2011,-10.0,bad
348,Hey Arnold! The Jungle Movie,Comedy,NR,2017,-7.0,okay
349,Man is Not a Bird (Covek nije tica),Art House & International,NR,1965,-21.0,worst
350,Grey Owl,Drama,PG-13,1999,39.0,best
351,Rocket Singh - Salesman of the Year,Art House & International,PG,2009,-16.0,bad
352,Flaming Star,Action & Adventure,PG,1960,-19.0,worst
353,The Poseidon Adventure,Action & Adventure,PG,1972,-4.0,okay
354,Dance Me Outside,Drama,R,1994,22.0,best
355,Here and There,Art House & International,NR,2010,0.0,okay
356,The Affair of the Necklace,Drama,R,2001,28.0,best
357,Carbon Nation,Documentary,PG,2011,36.0,best
358,To The Wonder,Drama,R,2013,-9.0,bad
359,Neighbors,Comedy,R,1981,-14.0,bad
360,Mau Mau Sex Sex,Documentary,NR,2001,-18.0,worst
361,Chicago 10,Animation,R,2008,-4.0,okay
362,Django Unchained,Drama,R,2012,5.0,good
363,Greaser's Palace,Classics,NR,1972,11.0,good
364,All That Jazz,Drama,R,1979,1.0,okay
365,Shock Treatment,Comedy,PG,1981,5.0,good
366,Beyond the Time Barrier,Classics,NR,1960,-25.0,worst
367,Jack and Jill vs. the World,Comedy,PG-13,2008,5.0,good
368,The Killing of a Sacred Deer,Drama,R,2017,-15.0,bad
369,Swiss Army Man,Drama,R,2016,1.0,okay
370,Dream House,Mystery & Suspense,PG-13,2011,30.0,best
371,The Endless,Horror,NR,2018,-26.0,worst
372,Puss in Boots,Action & Adventure,PG,2011,-18.0,worst
373,The Program,Drama,R,2016,-19.0,worst
374,Midnighters,Drama,NR,2018,-47.0,worst
375,The Criminal Life of Archibaldo de la Cruz (Ensayo de un crimen)(Rehearsal for a Crime),Art House & International,NR,1955,-7.0,okay
376,Monte Walsh,Action & Adventure,PG-13,1970,-24.0,worst
377,The Guilty (Den skyldige),Drama,R,2018,-11.0,bad
378,Cleo From 5 to 7 (Cléo de 5 à 7),Art House & International,NR,1961,-7.0,okay
379,Women on the Verge of a Nervous Breakdown (Mujeres al Borde de un Ataque de Nervios),Art House & International,R,1988,0.0,okay
380,Letters To God,Drama,PG,2010,51.0,best
381,Pauline At The Beach,Art House & International,R,1983,-6.0,okay
382,"La Commune (Paris, 1871)",Art House & International,NR,2003,-21.0,worst
383,Singh Is Bliing,Action & Adventure,NR,2015,-23.0,worst
384,"Lots of Kids, a Monkey and a Castle (Muchos hijos, un mono y un castillo)",Documentary,NR,2017,-4.0,okay
385,She's One of Us,Art House & International,NR,2003,-3.0,okay
386,Fast & Furious,Action & Adventure,PG-13,2009,38.0,best
387,Rent,Comedy,PG-13,2005,36.0,best
388,Everyday,Drama,NR,2013,-32.0,worst
389,Men Don't Leave,Comedy,PG-13,1990,-20.0,worst
390,Citizen Toxie: The Toxic Avenger IV,Comedy,R,2000,-4.0,okay
391,Park Row,Classics,NR,1952,-14.0,bad
392,Forty Guns,Classics,NR,1957,-28.0,worst
393,Hotel Coolgardie,Art House & International,NR,2016,7.0,good
394,Another Stakeout,Action & Adventure,PG-13,1993,15.0,good
395,Jude,Drama,R,1996,-8.0,bad
396,The Parts You Lose,Drama,NR,2019,-15.0,bad
397,Dirty Laundry,Art House & International,PG-13,2006,18.0,best
398,Los Olvidados,Drama,NR,1952,6.0,good
399,Animal Farm,Animation,NR,1954,3.0,good
400,Phil,Comedy,R,2019,29.0,best
401,Bathtubs Over Broadway,Comedy,PG-13,2018,-10.0,bad
402,4:44 Last Day on Earth,Drama,R,2012,-28.0,worst
403,Deja Vu,Drama,PG-13,1998,-4.0,okay
404,Early Man,Animation,PG,2018,-32.0,worst
405,The Hunt for Red October,Action & Adventure,PG,1990,-1.0,okay
406,Dancemaker,Documentary,NR,1999,-13.0,bad
407,Possible Worlds,Drama,NR,2000,11.0,good
408,Bad Milo!,Comedy,R,2013,-21.0,worst
409,Star Wars: Episode II - Attack of the Clones,Cult Movies,PG,2002,-10.0,bad
410,Planeat,Documentary,NR,2011,31.0,best
411,Mud,Drama,PG-13,2013,-17.0,bad
412,Andre,Action & Adventure,PG,1994,3.0,good
413,Garden State,Comedy,R,2004,2.0,good
414,Hotel Harabati (De particulier a particulier),Comedy,NR,2006,-20.0,worst
415,Gandhi,Classics,PG,1982,8.0,good
416,Don't Let Go (Relive),Mystery & Suspense,R,2019,38.0,best
417,Richard Pryor: Omit The Logic,Documentary,R,2013,-11.0,bad
418,Le Jour se lève (Daybreak),Art House & International,NR,1939,-3.0,okay
419,Alien,Drama,R,1979,-3.0,okay
420,Le grand voyage,Art House & International,NR,2005,4.0,good
421,Seeking Justice,Action & Adventure,R,2012,12.0,good
422,Private Peaceful,Art House & International,NR,2014,-6.0,okay
423,The Huntsman: Winter's War,Action & Adventure,PG-13,2016,27.0,best
424,Across 110th Street,Action & Adventure,R,1972,-1.0,okay
425,The Rise (Wasteland),Drama,NR,2013,3.0,good
426,"Oh, God! Book II",Comedy,PG,1980,-12.0,bad
