,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore
/m/safe_house_1999,/m/safe_house_1999,Safe House,"[""Action & Adventure"",""Mystery & Suspense"",""Television""]",NR,1999,null,70
/m/wolves_at_the_door,/m/wolves_at_the_door,Wolves at the Door,"[""Horror"",""Mystery & Suspense""]",R,2016,null,27
/m/murder_in_mind,/m/murder_in_mind,Murder in Mind,"[""Drama"",""Mystery & Suspense""]",R,1997,null,25
/m/6_below_miracle_on_the_mountain,/m/6_below_miracle_on_the_mountain,6 Below: Miracle On The Mountain,"[""Drama"",""Mystery & Suspense""]",PG-13,2017,22,55
/m/untitled,/m/untitled,(Untitled),"[""Comedy""]",R,2009,65,57
/m/evil_that_men_do,/m/evil_that_men_do,The Evil That Men Do,"[""Action & Adventure"",""Drama"",""Mystery & Suspense"",""Western""]",R,1984,40,39
/m/hollywood_revue_of_1929,/m/hollywood_revue_of_1929,The Hollywood Revue of 1929,"[""Classics"",""Musical & Performing Arts""]",NR,1929,40,24
/m/the_great_man_votes,/m/the_great_man_votes,The Great Man Votes,"[""Drama""]",NR,1939,null,67
/m/the-fall-2008,/m/the-fall-2008,The Fall,"[""Action & Adventure"",""Art House & International"",""Drama"",""Science Fiction & Fantasy""]",R,2006,61,85
/m/1043853-bitter_harvest,/m/1043853-bitter_harvest,Bitter Harvest,"[""Action & Adventure"",""Comedy"",""Drama"",""Mystery & Suspense""]",R,1993,null,26
/m/the_dark_tapes,/m/the_dark_tapes,The Dark Tapes,"[""Horror""]",NR,2017,90,57
/m/santa-smokes,/m/santa-smokes,Santa Smokes,"[""Comedy"",""Drama""]",NR,2002,67,67
/m/aimy_in_a_cage,/m/aimy_in_a_cage,Aimy In a Cage,"[""Drama""]",NR,2015,60,82
/m/1004903-creature,/m/1004903-creature,Creature,"[""Horror"",""Science Fiction & Fantasy""]",R,1985,null,12
/m/playboys,/m/playboys,The Playboys,"[""Art House & International"",""Drama"",""Romance""]",PG-13,1992,92,54
/m/seeking_a_friend_for_the_end_of_the_world,/m/seeking_a_friend_for_the_end_of_the_world,Seeking a Friend for the End of the World,"[""Comedy""]",R,2012,55,53
